id,name,four_letter,images_fetched,split
44719,Eunseo (WJSN),ENFJ,4,val
275672,Eda Erdem Dündar,ENFJ,4,train
27901,Jessica Lange,ENFJ,4,test
257470,Amanda Gorman,ENFJ,4,train
135705,Szymon Hołownia,ENFJ,4,train
299029,Ananda Morais,ENFJ,4,val
10294,Karlie Kloss,ENFJ,4,train
34926,Elkie (CLC),ENFJ,4,train
34787,Helen Mirren,ENFJ,4,train
77355,Hayley Atwell,ENFJ,4,train
36253,Olivia Munn,ENFJ,4,test
39841,Keith Raniere,ENFJ,4,train
58380,Krystal Ball,ENFJ,4,train
5888,Giuseppe Verdi,ENFJ,4,train
40026,Rob McElhenney,ENFJ,4,test
515617,Perrell Brown (Dreamybull),ENFJ,4,train
29243,Nigella Lawson,ENFJ,2,train
102806,Carles Puyol,ENFJ,4,train
24656,Ailee,ENFJ,4,train
208428,Rob Zeke Collopy,ENFJ,3,test
126601,Emicida,ENFJ,3,train
21517,Laura Dern,ENFJ,4,val
18582,Iker Casillas,ENFJ,4,train
20640,Don Lemon,ENFJ,4,train
134937,Débora Aladim,ENFJ,4,train
19094,Rashida Jones,ENFJ,4,train
22551,Patrick Swayze,ENFJ,4,train
28446,Iman,ENFJ,4,train
258958,Michael Chandler,ENFJ,4,train
86750,Zuho (SF9),ENFJ,3,train
79332,Tedua (Mario Molinari),ENFJ,4,train
105883,Ray Chen,ENFJ,4,train
44713,EXY (WJSN),ENFJ,4,val
62138,Belinda,ENFJ,4,train
31496,Jason Nash,ENFJ,4,test
50919,"Farah Diba, Shahbanu of Iran",ENFJ,4,train
32341,Jet Li,ENFJ,4,train
22866,Stephanie Beatriz,ENFJ,4,val
63416,César Millán,ENFJ,4,train
16295,"Larry Wheels"" Williams""",ENFJ,3,train
287248,OG Buda,ENFJ,4,train
318833,Sophia Valverde,ENFJ,3,test
60950,Jonathan Groff,ENFJ,4,train
19746,Colin Kaepernick,ENFJ,4,train
38693,Deepak Chopra,ENFJ,3,train
151499,Eddie Woo,ENFJ,4,train
329224,Will Neff,ENFJ,4,train
268545,Pınar Deniz,ENFJ,4,train
96001,Sophia,ENFJ,4,val
25613,Jeff Bridges,ENFJ,4,train
88766,Priscilla Chan Zuckerberg,ENFJ,4,train
68890,Ravn,ENFJ,4,train
32339,Linda Cardellini,ENFJ,4,train
202804,Olivier Giroud,ENFJ,4,train
23549,Sergey Lazarev,ENFJ,3,train
67300,Henrik Holm,ENFJ,3,train
366062,"Bruno Mossa de Rezende Bruno""""",ENFJ,4,train
231563,Kate Walsh,ENFJ,4,train
573948,Victor Wembanyama,ENFJ,4,train
2956,Charlie Rose,ENFJ,4,train
29776,Dan Crenshaw,ENFJ,4,train
4247,"Taehyung V"" (BTS)""",ENFP,4,train
970,Jennifer Lawrence,ENFP,4,val
28432,Lee Felix (Stray Kids),ENFP,4,train
13846,Tom Holland,ENFP,4,train
97,Will Smith,ENFP,4,train
162398,Hoyeon,ENFP,4,train
24957,Huening Kai (TXT),ENFP,4,train
566,Jim Carrey,ENFP,4,val
975,Anne Frank,ENFP,4,train
20622,Chuu,ENFP,4,train
20605,Sana (TWICE),ENFP,4,train
2530,Ellen DeGeneres,ENFP,4,train
978,Robin Williams,ENFP,4,train
26711,"Shuhua, (G)I-DLE",ENFP,3,train
11815,John Mulaney,ENFP,4,train
529172,Hanni (NewJeans),ENFP,4,train
4274,Salvador Dalí,ENFP,4,test
976,Walt Disney,ENFP,4,train
974,Oscar Wilde,ENFP,3,train
23619,Bad Bunny,ENFP,4,train
1304,George Carlin,ENFP,4,test
452,Donald Glover / Childish Gambino,ENFP,4,train
152876,Sunoo (ENHYPEN),ENFP,4,train
10257,Yeri (Red Velvet),ENFP,4,train
39192,Hirohiko Araki,ENFP,4,train
3226,Brie Larson,ENFP,4,train
587,Daniel Radcliffe,ENFP,3,train
16990,Jake Gyllenhaal,ENFP,4,train
12096,Pedro Pascal,ENFP,3,test
26814,Lia (ITZY),ENFP,4,train
770,Charles Manson,ENFP,4,train
120233,Ningning (aespa),ENFP,3,train
15881,Lily Collins,ENFP,4,test
9708,Jackie Chan,ENFP,3,train
3821,Chris Pratt,ENFP,4,train
6134,Helena Bonham Carter,ENFP,4,train
16085,Dylan O'Brien,ENFP,4,train
11070,Jack Black,ENFP,4,val
22723,Pete Davidson,ENFP,4,train
20468,Noel Miller,ENFP,3,train
3110,Andy Samberg,ENFP,4,train
24969,Hoshi (SEVENTEEN),ENFP,4,train
5939,Cara Delevingne,ENFP,4,train
482316,Nakamura Kazuha (LE SSERAFIM),ENFP,4,train
297841,Thomas Raggi,ENFP,4,train
29190,Russell Brand,ENFP,4,train
17651,Dave Chappelle,ENFP,4,val
23910,Matthew Gray Gubler,ENFP,4,train
43732,Kim Jonghyun (SHINee),ENFP,3,test
20202,Ezra Miller,ENFP,4,train
16157,Blake Lively,ENFP,4,train
29449,Lin-Manuel Miranda,ENFP,4,val
199707,Tatsuki Fujimoto,ENFP,4,train
442475,Pedro Scooby,ENFP,4,train
16123,Steve Carell,ENFP,4,train
9233,Taika Waititi,ENFP,4,train
42879,Jaden Smith,ENFP,3,train
105487,Linn da Quebrada (Lina),ENFP,4,train
34146,CallMeCarson,ENFP,4,train
16125,John Krasinski,ENFP,4,val
120527,Ice Cream Sandwich,ENFP,4,val
22144,Jack Ma,ENFP,4,train
6236,Victor Hugo,ENFP,4,train
24543,Heung-Min Son,ENFP,4,train
29781,Maisa Silva,ENFP,3,train
103932,Alice Oseman,ENFP,4,val
30818,Jeon Somi,ENFP,3,train
22127,Akira Toriyama,ENFP,4,val
20110,Cher,ENFP,4,test
8814,Liza Koshy,ENFP,4,train
6576,Trevor Noah,ENFP,3,train
38589,Eiichiro Oda,ENFP,4,train
136,Sandra Bullock,ENFP,4,train
25479,Shia LaBeouf,ENFP,4,train
16693,Madelaine Petsch,ENFP,4,train
979,Keira Knightley,ENFP,4,train
5941,Kristen Bell,ENFP,4,train
6311,Arthur Rimbaud,ENFP,4,train
31949,Kim Yoohyeon (DREAMCATCHER),ENFP,4,train
29812,Michael Sheen,ENFP,4,train
4945,Carrie Fisher,ENFP,4,train
87814,Manu Gavassi,ENFP,4,test
24705,Jonah Hill,ENFP,4,train
45998,Neil Cicierega,ENFP,4,train
31903,Jooheon (MONSTA X),ENFP,4,train
2309,Zooey Deschanel,ENFP,4,train
6615,Michio Kaku,ENFP,4,train
365775,Young Multi,ENFP,4,train
429802,Jooyeon (Xdinary Heroes),ENFP,4,test
8815,Sarah Paulson,ENFP,4,train
358333,Lily (NMIXX),ENFP,3,val
23900,Arca,ENFP,2,train
159578,Weston Koury (wes10),ENFP,3,train
6566,Julian Assange,ENFP,4,train
49549,Vladimir Mayakovsky,ENFP,4,train
9261,Mark Hamill,ENFP,4,train
14463,Arin Hanson (Egoraptor),ENFP,4,train
20952,Jack Dylan Grazer,ENFP,3,val
3154,James McAvoy,ENFP,4,val
94502,BIBI,ENFP,3,train
22499,Elijah Wood,ENFP,4,train
22031,Lord Byron,ENFP,4,test
26959,Yerin (GFRIEND),ENFP,4,train
18903,Julien Bam,ENFP,4,train
10637,Renato Russo,ENFP,3,train
16646,Amybeth McNulty,ENFP,3,train
16084,Elle Fanning,ENFP,4,test
62835,Israel Adesanya,ENFP,4,test
977,Kurt Vonnegut,ENFP,4,train
31827,Amber Liu,ENFP,4,train
34789,Gustavo Cerati,ENFP,4,val
44701,Ben Barnes,ENFP,4,train
414405,Reneé Rapp,ENFP,4,train
6274,Charles Dickens,ENFP,4,train
11630,Walt Whitman,ENFP,4,train
36148,Adam Conover (Adam Ruins Everything),ENFP,3,train
108679,Daniel Thrasher,ENFP,4,val
33664,Giannis Antetokounmpo,ENFP,4,train
29794,Theo Von,ENFP,4,train
29441,Choi Yujin (Kep1er),ENFP,3,train
1399,Debby Ryan,ENFP,4,train
116537,Barbascura X,ENFP,3,train
41634,Gaten Matarazzo,ENFP,4,val
451,Alison Brie,ENFP,3,train
127798,Meatcanyon,ENFP,3,train
9219,Dr. Seuss,ENFP,4,val
24658,Eunji (Apink),ENFP,4,train
11485,Greta Gerwig,ENFP,4,train
22610,Woody Harrelson,ENFP,4,train
8728,Hunter S. Thompson,ENFP,4,train
3260,Alejandro Jodorowsky,ENFP,4,train
287677,"Antonia Toni"" Gentry""",ENFP,4,train
12474,Seth Rogen,ENFP,4,train
315063,Emily Alyn Lind,ENFP,4,train
20739,Owen Wilson,ENFP,4,train
809519,Kim Gyuvin (ZEROBASEONE),ENFP,4,train
410661,Bae (NMIXX),ENFP,3,test
426619,Leeseo (IVE),ENFP,4,train
110988,Kim Go-eun,ENFP,4,train
217173,Yoon (STAYC),ENFP,3,train
11590,Gabriel Garcia Márquez,ENFP,4,val
33105,James Acaster,ENFP,4,train
11762,Roald Dahl,ENFP,4,train
981,Shailene Woodley,ENFP,4,train
29783,Park Bom,ENFP,4,train
41594,Marco Merrino (croix89),ENFP,4,train
22753,Gus Johnson,ENFP,4,test
11373,Orson Welles,ENFP,4,train
25484,Kaya Scodelario,ENFP,4,train
119210,Luca Macarini (Drawn Mask),ENFP,4,train
71209,Eugenio Derbez,ENFP,4,train
11179,Rick Riordan,ENFP,2,train
13398,Thomas Sanders,ENFP,4,train
30949,Cho Seungyoun (WOODZ),ENFP,3,train
134909,Juhaknyeon (The Boyz),ENFP,3,train
464411,Harvey (XG),ENFP,4,train
70548,Shannon (CreepShow Art),ENFP,4,train
30272,Zara Larsson,ENFP,4,train
49205,Bill Kaulitz,ENFP,3,train
407725,Anupam Tripathi,ENFP,4,train
13050,Will Ferrell,ENFP,4,test
237513,Moon Ga-Young,ENFP,4,test
70773,Paulo Gustavo,ENFP,4,train
96165,Grant Gustin,ENFP,4,test
192410,Jack Quaid,ENFP,4,train
3773,Gene Wilder,ENFP,4,val
8913,Michael J. Fox,ENFP,4,train
338321,Ceyda Kasabalı,ENFP,4,train
89233,Josh Hutcherson,ENFP,4,train
22262,Peter Jackson,ENFP,4,train
249042,Jovani Vázquez,ENFP,4,train
49090,Misha Collins,ENFP,3,train
2160,J. J. Abrams,ENFP,4,train
449972,Beomhan,ENFP,4,train
74359,Moriah Elizabeth,ENFP,4,train
10926,Matt Smith,ENFP,4,train
50368,Kat Dennings,ENFP,4,test
26224,Sarah Hyland,ENFP,4,train
137899,Berk Keklik (uberkuloz),ENFP,4,test
250961,DarioMocciaChannel (Dario Moccia),ENFP,4,train
16715,Maisie Williams,ENFP,3,val
483512,Ke Huy Quan,ENFP,4,train
143631,Yıldız Tilbe,ENFP,2,test
69223,Percy Shelley,ENFP,3,train
16792,Graham Norton,ENFP,4,train
22292,Macaulay Culkin,ENFP,4,train
165279,Hazal Kaya,ENFP,3,train
14849,Kiernan Shipka,ENFP,4,test
38232,Raffa Moreira,ENFP,4,train
28825,Beto O'Rourke,ENFP,3,train
74314,Tony Ferguson,ENFP,3,train
61853,René Perez Joglar (Residente),ENFP,4,train
29970,CalebCity,ENFP,4,train
53974,Awkwafina,ENFP,4,train
428071,Iñaki Godoy,ENFP,4,train
312947,Eugene Kalinkin,ENFP,4,train
28206,Olivia Colman,ENFP,3,train
231221,Li Bai (Li Bo),ENFP,3,train
597968,Haley Kalil,ENFP,4,train
177301,Gun ATP Atthaphan Phunsawat,ENFP,4,val
288397,Jenna Ortega,ENTJ,4,train
444,Steve Jobs,ENTJ,4,train
108,Arnold Schwarzenegger,ENTJ,4,train
43105,Aidan Gallagher,ENTJ,4,train
152884,Ni-Ki (ENHYPEN),ENTJ,4,train
20610,Heejin (ARTMS),ENTJ,4,train
60814,Javier Milei,ENTJ,4,val
294109,Jude Bellingham,ENTJ,4,test
30917,Elizabeth Holmes,ENTJ,4,train
2313,Carl Sagan,ENTJ,3,train
24453,Mohammed bin Salman (MBS),ENTJ,4,train
12718,Simon Cowell,ENTJ,4,train
315,Franklin D. Roosevelt,ENTJ,4,val
23886,Naomi Campbell,ENTJ,4,test
35388,Elizabeth Gillies,ENTJ,4,train
488229,Tristan Tate,ENTJ,4,train
1573,James Cameron,ENTJ,4,train
2288,Tony Robbins,ENTJ,3,test
140969,Anna Sorokin,ENTJ,4,train
43733,Key (SHINee),ENTJ,4,train
9459,José Mourinho,ENTJ,4,train
16149,Gillian Anderson,ENTJ,4,train
65026,Muharrem İnce,ENTJ,3,train
373058,Seo Youngeun (Kep1er),ENTJ,4,train
6491,Charlize Theron,ENTJ,4,val
830129,Park Gunwook (ZEROBASEONE),ENTJ,4,train
844525,Ahyeon (BABYMONSTER),ENTJ,4,train
967,George Clooney,ENTJ,3,train
3739,Richard Wagner,ENTJ,3,train
30278,Gabrielle Bonheur “Coco” Chanel,ENTJ,4,val
104717,Ted Nivison,ENTJ,4,train
36831,Katharine Hepburn,ENTJ,4,train
837119,Kim Taerae (ZEROBASEONE),ENTJ,4,train
5645,Elizabeth Warren,ENTJ,4,train
33029,Pete Buttigieg,ENTJ,4,train
16059,Nancy Pelosi,ENTJ,3,train
12281,George Soros,ENTJ,4,train
4937,Lauren Southern,ENTJ,4,train
117535,Doda (Dorota Rabczewska),ENTJ,4,train
10138,Vince McMahon,ENTJ,4,val
6495,Johan Cruyff,ENTJ,4,train
36557,Mindy Kaling,ENTJ,4,test
16799,Jimmy Carr,ENTJ,4,train
34339,Song Joong-Ki,ENTJ,4,train
14469,Jack London,ENTJ,4,train
20430,Al Gore,ENTJ,4,train
83933,Betty White †,ENTJ,4,train
684,David Letterman,ENTJ,4,train
457833,Eileen Feng Gu (Ailing Gu),ENTJ,4,train
13397,Irina Shayk,ENTJ,4,train
11586,Rudy Giuliani,ENTJ,4,train
65698,Dana White,ENTJ,3,train
41856,Whoopi Goldberg,ENTJ,4,train
54482,Angela Davis,ENTJ,4,train
320823,Oleg Tinkov,ENTJ,4,test
431240,Erik ten Hag,ENTJ,4,test
20362,Elizabeth Bathory,ENTJ,4,val
34991,Enrico Fermi,ENTJ,4,train
35045,Andrew Cuomo,ENTJ,4,train
14323,Triple H,ENTJ,4,train
31319,Zico (Block B),ENTJ,4,train
161512,Doyoung (TREASURE),ENTJ,3,train
24907,"Anne, Princess Royal of the United Kingdom",ENTJ,4,train
11651,Chelsea Handler,ENTJ,4,test
60722,Pedro Alonso,ENTJ,3,train
20038,Barbra Streisand,ENTJ,4,train
131961,Simon Leviev “The Tinder Swindler”,ENTJ,4,train
50,Chris Paul,ENTJ,4,train
301725,Thomas Tuchel,ENTJ,4,val
22549,Jimmy Savile,ENTJ,4,train
688,Rush Limbaugh,ENTJ,3,train
36165,Dan (Danplan),ENTJ,4,train
106839,Vittorio Sgarbi,ENTJ,4,train
117286,Rain,ENTJ,4,train
255198,Valentina Zenere,ENTJ,4,train
12332,Robert Redford,ENTJ,4,train
27926,Booba,ENTJ,4,test
33411,Richard Spencer,ENTJ,3,train
23762,Sandra Oh,ENTJ,4,train
43788,Harlan Ellison,ENTJ,4,train
9674,Lauren Bacall,ENTJ,4,train
324316,Ehsan Alikhani,ENTJ,4,val
2086,Penn Jillette,ENTJ,4,train
84893,Najwa Nimri,ENTJ,4,train
44243,Lee Seung-gi,ENTJ,4,test
49624,Shoko Asahara,ENTJ,4,train
236472,Yury Dud,ENTJ,4,train
475412,Ümit Özdağ,ENTJ,3,train
13921,Michael Douglas,ENTJ,4,train
53835,Lisa Su,ENTJ,4,train
28634,Dan Peña,ENTJ,4,val
82639,Arran Lomas (Thoughty2),ENTJ,4,train
56021,Patrick Bet-David,ENTJ,4,train
71358,Daniel Sloss,ENTJ,2,train
195419,Thiago Nigro (O Primo Rico),ENTJ,3,val
50525,Ava Gardner,ENTJ,3,train
36935,Cobie Smulders,ENTJ,4,train
20176,Klaus Kinski,ENTJ,4,train
37774,Donatella Versace,ENTJ,4,train
354814,Dave Farina (Professor Dave Explains),ENTJ,4,test
135849,"Junior Rorimpandey Juna""""",ENTJ,4,train
197247,Haluk Tatar,ENTJ,2,train
130436,Eteri Tutberidze,ENTJ,4,train
96857,Antón Álvarez (C. Tangana),ENTJ,4,train
175629,Florentino Pérez,ENTJ,4,train
367253,Kim Yeon-Koung,ENTJ,4,train
1500,Theo James,ENTJ,4,test
1525,Larry Ellison,ENTJ,4,test
28658,Jesse Ventura,ENTJ,4,val
28476,J. K. Simmons,ENTJ,4,train
303828,Shalom Harlow,ENTJ,4,train
120338,Cody Rhodes,ENTJ,4,train
129096,Yoon (WINNER),ENTJ,4,train
47019,Charlamagne tha God,ENTJ,4,val
37379,Matt Dillahunty,ENTJ,4,train
56779,Bernard Arnault,ENTJ,4,test
476772,Alex Hormozi,ENTJ,4,train
13920,Kirk Douglas,ENTJ,4,train
138502,Özgür Demirtaş,ENTJ,3,train
75383,Greg Davies,ENTJ,3,train
125959,Nevşin Mengü,ENTJ,4,train
130471,Kayleigh McEnany,ENTJ,4,test
264641,Viki Gabor,ENTJ,3,train
35557,Eduardo Bonvallet,ENTJ,3,train
324363,Thiago Finch,ENTJ,4,train
34970,Pierre-Simon Laplace,ENTJ,4,val
56259,Kollegah,ENTJ,4,train
35555,Oliver Kahn,ENTJ,4,train
29921,Carl Orff,ENTJ,4,test
113198,Jones Manoel,ENTJ,3,train
258963,María Félix,ENTJ,4,train
103195,Michael Franzese,ENTJ,4,train
39590,Gavin Newsom,ENTJ,4,train
150677,Jelena Karleusa,ENTJ,4,train
176621,Chad Michael Murray,ENTJ,4,train
14874,Abby Martin,ENTJ,4,train
16058,Paul Ryan,ENTJ,4,test
64194,Mark Phillips,ENTJ,4,train
267177,Nurlan Saburov,ENTJ,4,train
218960,Radwa El Sherbiny,ENTJ,3,train
119418,Fatih Altaylı,ENTJ,3,val
199853,Richard D. Wolff,ENTJ,4,train
7238,Louis van Gaal,ENTJ,4,train
38239,Phil Spencer,ENTJ,4,train
27091,Charles Sobhraj,ENTJ,4,train
24050,Chuck Schumer,ENTJ,4,test
216898,Jon Ossoff,ENTJ,4,train
464404,Jurin (XG),ENTJ,3,train
10492,Frances McDormand,ENTJ,4,train
11087,Eric Cantona,ENTJ,4,train
459263,Ashneer Grover,ENTJ,3,train
22263,George Westinghouse,ENTJ,4,val
36855,Sheryl Sandberg,ENTJ,4,train
20080,Grace Jones,ENTJ,4,train
40886,Mr. T,ENTJ,4,train
16078,Satya Nadella,ENTJ,3,train
373044,Maximilian Schmidt,ENTJ,2,val
119921,Seo Woobin (CRAVITY),ENTJ,4,train
52471,Dian Sastrowardoyo,ENTJ,3,train
366845,Roman Reigns (Tribal Chief),ENTJ,4,train
49164,Mel Robbins,ENTJ,4,train
76040,Jane Lynch,ENTJ,4,train
77491,Napoleon Hill,ENTJ,3,train
48170,Fernandinho Beira-Mar,ENTJ,4,train
329238,Matteo Professione (Ernia),ENTJ,4,train
10799,Yngwie Malmsteen,ENTJ,4,test
13913,Diane Kruger,ENTJ,4,train
33381,Rosie O'Donnell,ENTJ,4,val
23122,David Hogg,ENTJ,4,train
60345,Miyuki Sawashiro,ENTJ,4,train
107262,Ajda Pekkan,ENTJ,4,train
19922,Laura Prepon,ENTJ,4,train
129658,Lyle Menendez,ENTJ,4,train
199616,Nathalia Arcuri (Me Poupe),ENTJ,4,train
93511,Cus D'Amato,ENTJ,4,train
67385,Gué Pequeno (Cosimo Fini),ENTJ,4,train
38837,Farhang Holakouee,ENTJ,4,train
48540,Nancy Reagan,ENTJ,4,train
133875,Shelia Eddy,ENTJ,4,train
7219,Piero Scaruffi,ENTJ,4,train
97276,Judge Lauren Lake,ENTJ,3,train
76096,"Charles Lucky"" Luciano""",ENTJ,4,test
424076,Monika (Shin Jungwoo),ENTJ,4,val
69850,Peter Jones,ENTJ,4,train
557079,Bahareh Afshari,ENTJ,3,train
98024,Philip Zimbardo,ENTJ,4,train
34790,Ilia Chavchavadze,ENTJ,4,train
90627,Dennis Quaid,ENTJ,4,train
150037,Abimael Guzmán,ENTJ,4,train
45264,Josh Hawley,ENTJ,4,test
54401,Mae West,ENTJ,4,train
568349,Mike O'Hearn,ENTJ,4,train
509135,Brian Tracy,ENTJ,4,val
76100,Bugsy Siegel,ENTJ,4,val
43556,Marília Gabriela,ENTJ,4,train
236244,Kahi (After School),ENTJ,4,train
252004,Park Yoo-na,ENTJ,3,train
139066,Dr. Dodo,ENTJ,3,train
50181,Gertrude Stein,ENTJ,4,train
36692,Jamie Dimon,ENTJ,3,train
12937,Kim Jisoo (BLACKPINK),ENTP,4,train
28428,Han (Stray Kids),ENTP,4,train
1735,Quentin Tarantino,ENTP,4,train
24954,Yeonjun (TXT),ENTP,4,train
1884,Ted Bundy,ENTP,4,val
151,Robert Downey Jr.,ENTP,4,train
3496,Neil deGrasse Tyson,ENTP,3,train
534943,mbti_tties,ENTP,3,train
20948,Finn Wolfhard,ENTP,4,test
9242,Ricky Gervais,ENTP,4,train
39981,Sunwoo (The Boyz),ENTP,4,train
2310,Ryan Reynolds,ENTP,4,train
152871,Jay (ENHYPEN),ENTP,4,train
16694,Cole Sprouse,ENTP,4,train
24927,Johnny (NCT),ENTP,3,train
687,Conan O'Brien,ENTP,4,train
6535,Stan Lee,ENTP,4,test
539,Benjamin Franklin,ENTP,4,train
20467,"Cody Kolodziejzyk Cody Ko""""",ENTP,4,val
2710,Richard Feynman,ENTP,4,train
24921,Kim Sejeong,ENTP,4,train
8823,Thomas Müller,ENTP,4,test
30946,Yunho (ATEEZ),ENTP,4,train
2292,Martin Scorsese,ENTP,4,train
589,Tom Hanks,ENTP,4,train
973,Mark Twain,ENTP,4,train
