id,mbti,input_path,face_path,conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2
90,ENFJ,ENFJ/134937_72fd79d3a7.jpg,train/ENFJ/134937_72fd79d3a7_face.jpg,0.9097725749015808,73,65,168,183
91,ENFJ,ENFJ/134937_9451453b84.jpg,train/ENFJ/134937_9451453b84_face.jpg,0.9322509169578552,70,74,206,252
92,ENFJ,ENFJ/134937_f9da3fd524.jpg,train/ENFJ/134937_f9da3fd524_face.jpg,0.9128532409667969,98,89,224,244
93,ENFJ,ENFJ/13533_0763b8867b.jpg,train/ENFJ/13533_0763b8867b_face.jpg,0.8842427730560303,89,48,318,372
94,ENFJ,ENFJ/13533_2e52996e33.jpg,train/ENFJ/13533_2e52996e33_face.jpg,0.8848033547401428,360,40,496,203
95,ENFJ,ENFJ/13533_933e448cd0.jpg,train/ENFJ/13533_933e448cd0_face.jpg,0.8633362054824829,386,91,468,201
96,ENFJ,ENFJ/13533_b8df729d6c.jpg,train/ENFJ/13533_b8df729d6c_face.jpg,0.8592842817306519,171,39,207,88
97,ENFJ,ENFJ/135705_636dc5cc34.jpg,train/ENFJ/135705_636dc5cc34_face.jpg,0.8995367288589478,62,51,143,154
98,ENFJ,ENFJ/135705_b1dab08767.jpg,train/ENFJ/135705_b1dab08767_face.jpg,0.9132702350616455,189,144,527,589
99,ENFJ,ENFJ/135705_cf8a469db8.jpg,train/ENFJ/135705_cf8a469db8_face.jpg,0.863490641117096,158,51,224,126
100,ENFJ,ENFJ/135705_ecd95bc121.jpg,train/ENFJ/135705_ecd95bc121_face.jpg,0.8900582194328308,277,235,642,683
101,ENFJ,ENFJ/137_7b6196cf7e.jpg,train/ENFJ/137_7b6196cf7e_face.jpg,0.8877133727073669,290,163,765,748
102,ENFJ,ENFJ/137_8394ce5522.jpg,train/ENFJ/137_8394ce5522_face.jpg,0.8753698468208313,60,34,159,155
103,ENFJ,ENFJ/137_9b4e30491e.jpg,train/ENFJ/137_9b4e30491e_face.jpg,0.9059396386146545,94,63,235,261
104,ENFJ,ENFJ/137_dff5e2f34d.jpg,train/ENFJ/137_dff5e2f34d_face.jpg,0.9018070101737976,190,114,336,308
105,ENFJ,ENFJ/14234_23f81751b7.jpg,train/ENFJ/14234_23f81751b7_face.jpg,0.8884890675544739,145,97,298,310
106,ENFJ,ENFJ/14234_298e897226.jpg,train/ENFJ/14234_298e897226_face.jpg,0.8793008327484131,203,67,284,176
107,ENFJ,ENFJ/14234_a585d52081.jpg,train/ENFJ/14234_a585d52081_face.jpg,0.8816196322441101,444,140,970,899
108,ENFJ,ENFJ/14234_c6ce1b0eae.jpg,train/ENFJ/14234_c6ce1b0eae_face.jpg,0.8858324289321899,60,19,131,121
109,ENFJ,ENFJ/142428_08086b387c.jpg,train/ENFJ/142428_08086b387c_face.jpg,0.9076870679855347,283,225,599,664
110,ENFJ,ENFJ/142428_4f03008d1e.jpg,train/ENFJ/142428_4f03008d1e_face.jpg,0.8924359679222107,76,46,136,124
111,ENFJ,ENFJ/142428_90b6692031.jpg,train/ENFJ/142428_90b6692031_face.jpg,0.8868362307548523,74,47,160,158
112,ENFJ,ENFJ/144174_3fcf9c6e30.jpg,train/ENFJ/144174_3fcf9c6e30_face.jpg,0.909003496170044,129,24,187,107
113,ENFJ,ENFJ/144174_45fb75cc6e.jpg,train/ENFJ/144174_45fb75cc6e_face.jpg,0.9146091938018799,301,57,436,253
114,ENFJ,ENFJ/144174_7d41a09058.jpg,train/ENFJ/144174_7d41a09058_face.jpg,0.9066381454467773,300,93,818,707
115,ENFJ,ENFJ/144174_c71e2d786f.jpg,train/ENFJ/144174_c71e2d786f_face.jpg,0.8843613862991333,196,75,453,401
116,ENFJ,ENFJ/145999_55882c1ee0.jpg,val/ENFJ/145999_55882c1ee0_face.jpg,0.8895312547683716,55,55,127,139
117,ENFJ,ENFJ/145999_58b876e008.jpg,val/ENFJ/145999_58b876e008_face.jpg,0.8912734985351562,184,186,424,466
118,ENFJ,ENFJ/145999_6314c605bb.jpg,val/ENFJ/145999_6314c605bb_face.jpg,0.8639985918998718,68,44,129,110
119,ENFJ,ENFJ/145999_8d52262379.jpg,val/ENFJ/145999_8d52262379_face.jpg,0.899681031703949,509,654,1235,1564
120,ENFJ,ENFJ/14694_5d95656994.jpg,train/ENFJ/14694_5d95656994_face.jpg,0.9093864560127258,122,15,201,128
121,ENFJ,ENFJ/14694_70cbaff85a.jpg,train/ENFJ/14694_70cbaff85a_face.jpg,0.9118062853813171,332,107,602,501
122,ENFJ,ENFJ/14694_ca1a01d6d9.jpg,train/ENFJ/14694_ca1a01d6d9_face.jpg,0.9118878841400146,172,147,352,381
123,ENFJ,ENFJ/151499_56f7f8ae67.jpg,train/ENFJ/151499_56f7f8ae67_face.jpg,0.9082669019699097,765,629,1938,2413
124,ENFJ,ENFJ/151499_8ac70d52ad.jpg,train/ENFJ/151499_8ac70d52ad_face.jpg,0.8746741414070129,70,36,141,143
125,ENFJ,ENFJ/151499_dff27f3e6c.jpg,train/ENFJ/151499_dff27f3e6c_face.jpg,0.9040411710739136,134,63,268,260
126,ENFJ,ENFJ/151499_e211929147.jpg,train/ENFJ/151499_e211929147_face.jpg,0.8953593373298645,53,44,135,167
127,ENFJ,ENFJ/15269_059431a449.jpg,train/ENFJ/15269_059431a449_face.jpg,0.8791491389274597,725,636,1984,2445
128,ENFJ,ENFJ/15269_0eb42ed238.jpg,train/ENFJ/15269_0eb42ed238_face.jpg,0.8774849772453308,206,67,285,175
129,ENFJ,ENFJ/15269_4c4f3d59e6.jpg,train/ENFJ/15269_4c4f3d59e6_face.jpg,0.8977624773979187,30,35,135,173
130,ENFJ,ENFJ/15269_bf1cc7452b.jpg,train/ENFJ/15269_bf1cc7452b_face.jpg,0.8913716077804565,213,251,935,1199
131,ENFJ,ENFJ/155885_87fe4a7906.jpg,test/ENFJ/155885_87fe4a7906_face.jpg,0.9341652989387512,195,157,467,536
132,ENFJ,ENFJ/155885_a450ba7da5.jpg,test/ENFJ/155885_a450ba7da5_face.jpg,0.8877249360084534,61,27,102,86
133,ENFJ,ENFJ/155885_b30b0d5b0c.jpg,test/ENFJ/155885_b30b0d5b0c_face.jpg,0.9040902853012085,574,414,1132,1197
134,ENFJ,ENFJ/15914_090e9acb70.jpg,train/ENFJ/15914_090e9acb70_face.jpg,0.8935505747795105,256,312,699,914
135,ENFJ,ENFJ/15914_0a71ddb623.jpg,train/ENFJ/15914_0a71ddb623_face.jpg,0.902751088142395,294,310,673,881
136,ENFJ,ENFJ/15914_12c6a3f3ab.jpg,train/ENFJ/15914_12c6a3f3ab_face.jpg,0.8989669680595398,174,113,346,375
137,ENFJ,ENFJ/15914_3724dfecb2.jpg,train/ENFJ/15914_3724dfecb2_face.jpg,0.8907143473625183,64,41,127,135
138,ENFJ,ENFJ/162840_4590501666.jpg,train/ENFJ/162840_4590501666_face.jpg,0.9139647483825684,252,189,587,625
139,ENFJ,ENFJ/162840_60bbd60d1d.jpg,train/ENFJ/162840_60bbd60d1d_face.jpg,0.9120475053787231,561,303,1036,889
140,ENFJ,ENFJ/162840_884686a457.jpg,train/ENFJ/162840_884686a457_face.jpg,0.8880361318588257,751,363,1033,730
141,ENFJ,ENFJ/162840_973c311838.jpg,train/ENFJ/162840_973c311838_face.jpg,0.8764936923980713,91,44,125,88
142,ENFJ,ENFJ/16295_88ecb6f8f2.jpg,train/ENFJ/16295_88ecb6f8f2_face.jpg,0.8725928664207458,108,45,193,160
143,ENFJ,ENFJ/16295_98ac62d0cc.jpg,train/ENFJ/16295_98ac62d0cc_face.jpg,0.8687428832054138,139,3,168,41
144,ENFJ,ENFJ/16295_e987eae11c.jpg,train/ENFJ/16295_e987eae11c_face.jpg,0.8640519976615906,64,20,107,77
145,ENFJ,ENFJ/165483_356f8cb77d.jpg,train/ENFJ/165483_356f8cb77d_face.jpg,0.8782602548599243,287,80,372,203
146,ENFJ,ENFJ/165483_629543a76f.jpg,train/ENFJ/165483_629543a76f_face.jpg,0.9080181121826172,233,20,424,319
147,ENFJ,ENFJ/165483_c6de4e4b11.jpg,train/ENFJ/165483_c6de4e4b11_face.jpg,0.8604677319526672,126,36,162,87
148,ENFJ,ENFJ/16680_2ba0f841e1.jpg,train/ENFJ/16680_2ba0f841e1_face.jpg,0.8930436372756958,130,46,278,266
149,ENFJ,ENFJ/16680_5e8b451a6b.jpg,train/ENFJ/16680_5e8b451a6b_face.jpg,0.925139307975769,37,39,143,193
150,ENFJ,ENFJ/16680_b27a1babd5.jpg,train/ENFJ/16680_b27a1babd5_face.jpg,0.929775059223175,89,238,595,920
151,ENFJ,ENFJ/16680_b6cfdd8ed2.jpg,train/ENFJ/16680_b6cfdd8ed2_face.jpg,0.9405826330184937,24,62,155,238
152,ENFJ,ENFJ/16704_494349ac3f.jpg,train/ENFJ/16704_494349ac3f_face.jpg,0.9088516235351562,796,511,1851,1976
153,ENFJ,ENFJ/16704_55cda9c9b1.jpg,train/ENFJ/16704_55cda9c9b1_face.jpg,0.8771939277648926,60,45,121,124
154,ENFJ,ENFJ/16704_94a2d20e6c.jpg,train/ENFJ/16704_94a2d20e6c_face.jpg,0.9121613502502441,127,89,300,318
155,ENFJ,ENFJ/16704_a125dda354.jpg,train/ENFJ/16704_a125dda354_face.jpg,0.8902091979980469,665,517,1399,1424
156,ENFJ,ENFJ/16710_8f7c4bf462.jpg,train/ENFJ/16710_8f7c4bf462_face.jpg,0.913417398929596,141,81,276,271
157,ENFJ,ENFJ/16710_cec4b534cf.jpg,train/ENFJ/16710_cec4b534cf_face.jpg,0.9128943681716919,70,29,156,154
158,ENFJ,ENFJ/16710_f7902d58fa.jpg,train/ENFJ/16710_f7902d58fa_face.jpg,0.9055659770965576,172,91,366,370
159,ENFJ,ENFJ/16718_1e3e7fe737.jpg,train/ENFJ/16718_1e3e7fe737_face.jpg,0.9072149991989136,155,79,324,292
160,ENFJ,ENFJ/16718_534a89858d.jpg,train/ENFJ/16718_534a89858d_face.jpg,0.8813038468360901,37,35,122,156
161,ENFJ,ENFJ/16718_ce5ca6806d.jpg,train/ENFJ/16718_ce5ca6806d_face.jpg,0.9013329148292542,62,31,130,117
162,ENFJ,ENFJ/16718_fdd684adb6.jpg,train/ENFJ/16718_fdd684adb6_face.jpg,0.9075968265533447,185,95,370,326
163,ENFJ,ENFJ/16719_058be99062.jpg,train/ENFJ/16719_058be99062_face.jpg,0.9160523414611816,144,109,369,427
164,ENFJ,ENFJ/16719_30e468ff7c.jpg,train/ENFJ/16719_30e468ff7c_face.jpg,0.9147958159446716,157,178,496,638
165,ENFJ,ENFJ/16719_95a908c339.jpg,train/ENFJ/16719_95a908c339_face.jpg,0.9151726365089417,50,38,127,147
166,ENFJ,ENFJ/16719_edc2af5900.jpg,train/ENFJ/16719_edc2af5900_face.jpg,0.8969842791557312,255,119,498,457
167,ENFJ,ENFJ/16923_3eb3367187.jpg,train/ENFJ/16923_3eb3367187_face.jpg,0.9054930210113525,35,25,118,143
168,ENFJ,ENFJ/16923_c45f5410a2.jpg,train/ENFJ/16923_c45f5410a2_face.jpg,0.8262255787849426,108,52,129,80
169,ENFJ,ENFJ/17678_1f7d7d973d.jpg,train/ENFJ/17678_1f7d7d973d_face.jpg,0.9132843613624573,135,89,374,420
170,ENFJ,ENFJ/17678_35161ae7e9.jpg,train/ENFJ/17678_35161ae7e9_face.jpg,0.8920617699623108,565,84,712,299
171,ENFJ,ENFJ/17678_cf21d620df.jpg,train/ENFJ/17678_cf21d620df_face.jpg,0.8920854926109314,276,94,522,458
172,ENFJ,ENFJ/17678_e86a325cd7.jpg,train/ENFJ/17678_e86a325cd7_face.jpg,0.9051404595375061,49,32,136,154
173,ENFJ,ENFJ/179231_22b0e350fd.jpg,train/ENFJ/179231_22b0e350fd_face.jpg,0.9150187969207764,149,71,292,286
174,ENFJ,ENFJ/179231_3b6867fa94.jpg,train/ENFJ/179231_3b6867fa94_face.jpg,0.9201239347457886,225,63,392,313
175,ENFJ,ENFJ/179231_4f14a98382.jpg,train/ENFJ/179231_4f14a98382_face.jpg,0.9170392155647278,101,28,175,140
176,ENFJ,ENFJ/179231_a0a573cf49.jpg,train/ENFJ/179231_a0a573cf49_face.jpg,0.8987920880317688,156,195,541,741
177,ENFJ,ENFJ/18582_0783a356c4.jpg,train/ENFJ/18582_0783a356c4_face.jpg,0.8964985013008118,157,55,246,172
178,ENFJ,ENFJ/18582_84e71d4f24.jpg,train/ENFJ/18582_84e71d4f24_face.jpg,0.9071335792541504,113,112,328,382
179,ENFJ,ENFJ/18582_a64713edf8.jpg,train/ENFJ/18582_a64713edf8_face.jpg,0.8902624249458313,70,24,111,77
180,ENFJ,ENFJ/18582_d1fd599dbb.jpg,train/ENFJ/18582_d1fd599dbb_face.jpg,0.9113078713417053,231,140,486,471
181,ENFJ,ENFJ/18589_0df46ab159.jpg,train/ENFJ/18589_0df46ab159_face.jpg,0.9077265858650208,231,194,618,719
182,ENFJ,ENFJ/18589_5738407bd2.jpg,train/ENFJ/18589_5738407bd2_face.jpg,0.8336008787155151,45,58,146,181
183,ENFJ,ENFJ/18589_7edf9411e1.jpg,train/ENFJ/18589_7edf9411e1_face.jpg,0.8955660462379456,638,464,1686,1753
184,ENFJ,ENFJ/18589_da2c76b236.jpg,train/ENFJ/18589_da2c76b236_face.jpg,0.9115810990333557,57,48,153,178
185,ENFJ,ENFJ/18598_3821358440.jpg,val/ENFJ/18598_3821358440_face.jpg,0.8862267136573792,109,31,194,143
186,ENFJ,ENFJ/18598_aebc2d2aab.jpg,val/ENFJ/18598_aebc2d2aab_face.jpg,0.9004060626029968,89,105,262,322
187,ENFJ,ENFJ/18598_c18e015b71.jpg,val/ENFJ/18598_c18e015b71_face.jpg,0.9010978937149048,268,271,717,839
188,ENFJ,ENFJ/18904_35e9602cb0.jpg,train/ENFJ/18904_35e9602cb0_face.jpg,0.910203754901886,156,4,435,283
189,ENFJ,ENFJ/18904_7596a4f776.jpg,train/ENFJ/18904_7596a4f776_face.jpg,0.8558664321899414,367,15,626,341
190,ENFJ,ENFJ/18904_9bf0e7ccf5.jpg,train/ENFJ/18904_9bf0e7ccf5_face.jpg,0.8319331407546997,121,6,214,117
191,ENFJ,ENFJ/18904_bde1630607.jpg,train/ENFJ/18904_bde1630607_face.jpg,0.9175352454185486,0,278,529,1063
192,ENFJ,ENFJ/19051_0ea551526a.jpg,train/ENFJ/19051_0ea551526a_face.jpg,0.9084386825561523,71,44,163,173
193,ENFJ,ENFJ/19051_8c59d8c5c1.jpg,train/ENFJ/19051_8c59d8c5c1_face.jpg,0.8973605632781982,70,30,154,149
194,ENFJ,ENFJ/19051_a43a9a1fa7.jpg,train/ENFJ/19051_a43a9a1fa7_face.jpg,0.9025575518608093,86,44,140,121
195,ENFJ,ENFJ/19094_072315cb71.jpg,train/ENFJ/19094_072315cb71_face.jpg,0.8891212344169617,173,98,305,254
196,ENFJ,ENFJ/19094_1299ff3640.jpg,train/ENFJ/19094_1299ff3640_face.jpg,0.9110881090164185,1194,258,1773,1074
